timestamp,process,protocol,local,remote,remote_host,status
2026-03-30 15:05:03,Code.exe,TCP,192.168.1.101:53151,150.171.110.33:443,-,ESTABLISHED
2026-03-30 15:05:03,Code.exe,TCP,192.168.1.101:54242,150.171.110.33:443,-,ESTABLISHED
2026-03-30 15:05:11,Code.exe,TCP,192.168.1.101:53151,150.171.110.33:443,-,CLOSE_WAIT
2026-03-30 15:05:27,MEGAsync.exe,TCP,192.168.1.101:56239,185.206.25.63:443,-,ESTABLISHED
2026-03-30 15:05:27,MEGAsync.exe,TCP,192.168.1.101:58214,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:05:51,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 15:06:01,MEGAsync.exe,TCP,192.168.1.101:62564,185.206.25.64:443,-,SYN_SENT
2026-03-30 15:06:07,MEGAsync.exe,TCP,192.168.1.101:62566,185.206.25.60:443,-,ESTABLISHED
2026-03-30 15:06:07,MEGAsync.exe,TCP,192.168.1.101:62564,185.206.25.64:443,-,ESTABLISHED
2026-03-30 15:06:31,MEGAsync.exe,TCP,192.168.1.101:62568,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:07:48,Code.exe,TCP,192.168.1.101:51729,40.71.11.167:443,-,ESTABLISHED
2026-03-30 15:08:09,MEGAsync.exe,TCP,192.168.1.101:51743,185.206.25.64:443,-,ESTABLISHED
2026-03-30 15:08:09,MEGAsync.exe,TCP,192.168.1.101:62568,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:08:09,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 15:09:51,Code.exe,TCP,192.168.1.101:51729,40.71.11.167:443,-,CLOSE_WAIT
2026-03-30 15:10:07,Code.exe,TCP,192.168.1.101:53691,150.171.110.39:443,-,ESTABLISHED
2026-03-30 15:10:07,Code.exe,TCP,192.168.1.101:62279,150.171.110.39:443,-,CLOSE_WAIT
2026-03-30 15:10:07,MEGAsync.exe,TCP,192.168.1.101:62281,185.206.25.61:443,-,ESTABLISHED
2026-03-30 15:10:17,MEGAsync.exe,TCP,192.168.1.101:62284,185.206.25.64:443,-,ESTABLISHED
2026-03-30 15:10:23,Code.exe,TCP,192.168.1.101:62287,140.82.113.22:443,-,ESTABLISHED
2026-03-30 15:10:31,MEGAsync.exe,TCP,192.168.1.101:62286,185.206.25.63:443,-,ESTABLISHED
2026-03-30 15:10:55,Code.exe,TCP,192.168.1.101:58635,40.71.11.167:443,-,ESTABLISHED
2026-03-30 15:11:35,MEGAsync.exe,TCP,192.168.1.101:62284,185.206.25.64:443,-,ESTABLISHED
2026-03-30 15:12:31,Code.exe,TCP,192.168.1.101:50247,52.182.143.211:443,-,ESTABLISHED
2026-03-30 15:12:31,MEGAsync.exe,TCP,192.168.1.101:60917,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:12:47,Code.exe,TCP,192.168.1.101:51846,52.182.143.211:443,-,ESTABLISHED
2026-03-30 15:12:47,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 15:12:47,MEGAsync.exe,TCP,192.168.1.101:49667,66.203.125.15:443,-,ESTABLISHED
2026-03-30 15:13:19,Code.exe,TCP,192.168.1.101:53279,140.82.112.22:443,-,ESTABLISHED
2026-03-30 15:13:19,Code.exe,TCP,192.168.1.101:57438,169.254.169.254:80,-,SYN_SENT
2026-03-30 15:13:19,Code.exe,TCP,192.168.1.101:58481,4.228.31.153:443,-,ESTABLISHED
2026-03-30 15:13:27,Code.exe,TCP,192.168.1.101:65169,52.182.143.211:443,-,ESTABLISHED
2026-03-30 15:14:07,MEGAsync.exe,TCP,192.168.1.101:57770,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:14:44,APSDaemon.exe,TCP,192.168.1.101:65353,17.249.252.4:5223,-,ESTABLISHED
2026-03-30 15:14:44,Code.exe,TCP,192.168.1.101:53279,140.82.112.22:443,-,ESTABLISHED
2026-03-30 15:14:44,Code.exe,TCP,192.168.1.101:58481,4.228.31.153:443,-,ESTABLISHED
2026-03-30 15:14:44,Code.exe,TCP,192.168.1.101:58028,40.71.11.167:443,-,ESTABLISHED
2026-03-30 15:14:44,Code.exe,TCP,192.168.1.101:65169,52.182.143.211:443,-,ESTABLISHED
2026-03-30 15:14:44,EXCEL.EXE,TCP,192.168.1.101:57771,51.104.15.253:443,-,ESTABLISHED
2026-03-30 15:14:48,Code.exe,TCP,192.168.1.101:49737,13.107.5.93:443,-,ESTABLISHED
2026-03-30 15:14:48,Code.exe,TCP,192.168.1.101:49736,13.107.5.93:443,-,ESTABLISHED
2026-03-30 15:14:56,EXCEL.EXE,TCP,192.168.1.101:57771,51.104.15.253:443,-,ESTABLISHED
2026-03-30 15:14:56,MEGAsync.exe,TCP,192.168.1.101:62284,185.206.25.64:443,-,ESTABLISHED
2026-03-30 15:14:56,MEGAsync.exe,TCP,192.168.1.101:57770,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:14:56,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 15:14:56,MEGAsync.exe,TCP,192.168.1.101:49667,66.203.125.15:443,-,ESTABLISHED
2026-03-30 15:15:04,Code.exe,TCP,192.168.1.101:50200,150.171.110.37:443,-,ESTABLISHED
2026-03-30 15:15:04,Code.exe,TCP,192.168.1.101:52010,150.171.110.37:443,-,ESTABLISHED
2026-03-30 15:15:04,Code.exe,TCP,192.168.1.101:60677,20.189.173.9:443,-,ESTABLISHED
2026-03-30 15:15:19,MEGAsync.exe,TCP,192.168.1.101:57770,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:15:19,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 15:15:19,MEGAsync.exe,TCP,192.168.1.101:49667,66.203.125.15:443,-,ESTABLISHED
2026-03-30 15:15:28,Code.exe,TCP,192.168.1.101:50958,20.189.173.9:443,-,ESTABLISHED
2026-03-30 15:15:28,Code.exe,TCP,192.168.1.101:53713,40.71.11.167:443,-,ESTABLISHED
2026-03-30 15:15:28,MEGAsync.exe,TCP,192.168.1.101:50960,185.206.25.60:443,-,ESTABLISHED
2026-03-30 15:15:36,MEGAsync.exe,TCP,192.168.1.101:57770,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:15:36,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 15:15:52,Code.exe,TCP,192.168.1.101:61534,140.82.112.22:443,-,ESTABLISHED
2026-03-30 15:15:52,Code.exe,TCP,192.168.1.101:50113,20.189.173.9:443,-,ESTABLISHED
2026-03-30 15:16:00,MEGAsync.exe,TCP,192.168.1.101:57770,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:16:16,Code.exe,TCP,192.168.1.101:51577,52.168.117.174:443,-,ESTABLISHED
2026-03-30 15:16:24,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 15:16:32,Code.exe,TCP,192.168.1.101:57564,52.168.117.174:443,-,ESTABLISHED
2026-03-30 15:16:32,MEGAsync.exe,TCP,192.168.1.101:59824,185.206.25.62:443,-,ESTABLISHED
2026-03-30 15:16:32,MEGAsync.exe,TCP,192.168.1.101:59825,185.206.25.62:443,-,ESTABLISHED
2026-03-30 15:16:40,Code.exe,TCP,192.168.1.101:51866,140.82.112.22:443,-,ESTABLISHED
2026-03-30 15:16:40,MEGAsync.exe,TCP,192.168.1.101:60304,185.206.25.61:443,-,ESTABLISHED
2026-03-30 15:16:40,MEGAsync.exe,TCP,192.168.1.101:60300,185.206.25.61:443,-,ESTABLISHED
2026-03-30 15:16:51,Code.exe,TCP,192.168.1.101:59659,52.168.117.174:443,-,ESTABLISHED
2026-03-30 15:17:17,APSDaemon.exe,TCP,192.168.1.101:65353,17.249.252.4:5223,-,ESTABLISHED
2026-03-30 15:17:17,Code.exe,TCP,192.168.1.101:54399,52.168.117.174:443,-,ESTABLISHED
2026-03-30 15:17:17,MEGAsync.exe,TCP,192.168.1.101:50960,185.206.25.60:443,-,ESTABLISHED
2026-03-30 15:17:17,MEGAsync.exe,TCP,192.168.1.101:60300,185.206.25.61:443,-,ESTABLISHED
2026-03-30 15:17:17,MEGAsync.exe,TCP,192.168.1.101:60304,185.206.25.61:443,-,ESTABLISHED
2026-03-30 15:17:17,MEGAsync.exe,TCP,192.168.1.101:59825,185.206.25.62:443,-,ESTABLISHED
2026-03-30 15:17:22,MEGAsync.exe,TCP,192.168.1.101:59824,185.206.25.62:443,-,ESTABLISHED
2026-03-30 15:21:40,APSDaemon.exe,TCP,192.168.1.101:65353,17.249.252.4:5223,-,ESTABLISHED
2026-03-30 15:21:40,Code.exe,TCP,192.168.1.101:53671,140.82.112.22:443,-,ESTABLISHED
2026-03-30 15:21:40,MEGAsync.exe,TCP,192.168.1.101:53664,185.206.25.64:443,-,ESTABLISHED
2026-03-30 15:21:40,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 15:21:40,MEGAsync.exe,TCP,192.168.1.101:49667,66.203.125.15:443,-,ESTABLISHED
2026-03-30 15:21:40,MEGAsync.exe,TCP,192.168.1.101:50213,66.203.125.28:443,-,ESTABLISHED
2026-03-30 15:21:44,Spotify.exe,TCP,192.168.1.101:59766,104.199.65.9:443,-,ESTABLISHED
